framework,kc_field,opportunity,error_rate,stderr,n_students
feedback_only,apply_pythagorean,1,1.0,0.0,1
feedback_only,apply_pythagorean,2,1.0,0.0,1
feedback_only,apply_pythagorean,3,1.0,0.0,1
feedback_only,apply_pythagorean,4,1.0,0.0,1
feedback_only,apply_pythagorean,5,1.0,0.0,1
feedback_only,apply_pythagorean,6,0.0,0.0,1
feedback_only,backfill_with_sines_if_needed,1,1.0,0.0,1
feedback_only,backfill_with_sines_if_needed,2,1.0,0.0,1
feedback_only,backfill_with_sines_if_needed,3,1.0,0.0,1
feedback_only,backfill_with_sines_if_needed,4,1.0,0.0,1
feedback_only,backfill_with_sines_if_needed,5,1.0,0.0,1
feedback_only,classify_triangle,1,1.0,0.0,1
feedback_only,classify_triangle,2,0.0,0.0,1
feedback_only,classify_triangle,3,0.0,0.0,1
feedback_only,classify_triangle,4,0.0,0.0,1
feedback_only,classify_triangle,5,0.0,0.0,1
feedback_only,classify_triangle,6,1.0,0.0,1
feedback_only,classify_triangle,7,0.0,0.0,1
feedback_only,classify_triangle,8,0.0,0.0,1
feedback_only,classify_triangle,9,0.0,0.0,1
feedback_only,classify_triangle,10,0.0,0.0,1
feedback_only,classify_triangle,11,1.0,0.0,1
feedback_only,classify_triangle,12,1.0,0.0,1
feedback_only,classify_triangle,13,1.0,0.0,1
feedback_only,classify_triangle,14,0.0,0.0,1
feedback_only,classify_triangle,15,0.0,0.0,1
feedback_only,compute_area,1,1.0,0.0,1
feedback_only,compute_area,2,1.0,0.0,1
feedback_only,compute_area,3,1.0,0.0,1
feedback_only,compute_area,4,1.0,0.0,1
feedback_only,compute_area,5,1.0,0.0,1
feedback_only,compute_area,6,1.0,0.0,1
feedback_only,compute_area,7,1.0,0.0,1
feedback_only,compute_area,8,1.0,0.0,1
feedback_only,compute_area,9,1.0,0.0,1
feedback_only,compute_area,10,0.0,0.0,1
feedback_only,compute_area,11,1.0,0.0,1
feedback_only,compute_area,12,1.0,0.0,1
feedback_only,compute_area,13,1.0,0.0,1
feedback_only,compute_area,14,0.0,0.0,1
feedback_only,compute_missing_angles,1,1.0,0.0,1
feedback_only,compute_missing_angles,2,0.0,0.0,1
feedback_only,compute_missing_angles,3,1.0,0.0,1
feedback_only,compute_missing_angles,4,0.0,0.0,1
feedback_only,compute_missing_angles,5,1.0,0.0,1
feedback_only,compute_missing_angles,6,0.0,0.0,1
feedback_only,compute_missing_angles,7,1.0,0.0,1
feedback_only,compute_missing_angles,8,1.0,0.0,1
feedback_only,compute_missing_angles,9,1.0,0.0,1
feedback_only,compute_missing_sides,1,1.0,0.0,1
feedback_only,compute_missing_sides,2,0.0,0.0,1
feedback_only,compute_missing_sides,3,1.0,0.0,1
feedback_only,compute_missing_sides,4,0.0,0.0,1
feedback_only,compute_missing_sides,5,1.0,0.0,1
feedback_only,compute_missing_sides,6,0.0,0.0,1
feedback_only,compute_missing_sides,7,1.0,0.0,1
feedback_only,compute_missing_sides,8,1.0,0.0,1
feedback_only,compute_missing_sides,9,1.0,0.0,1
feedback_only,compute_missing_sides,10,1.0,0.0,1
feedback_only,compute_missing_sides,11,1.0,0.0,1
feedback_only,compute_unknown_by_cosine,1,1.0,0.0,1
feedback_only,compute_unknown_by_cosine,2,1.0,0.0,1
feedback_only,compute_unknown_by_cosine,3,1.0,0.0,1
feedback_only,compute_unknown_by_cosine,4,1.0,0.0,1
feedback_only,compute_unknown_by_cosine,5,1.0,0.0,1
feedback_only,consistency_checks,1,1.0,0.0,1
feedback_only,consistency_checks,2,1.0,0.0,1
feedback_only,consistency_checks,3,0.0,0.0,1
feedback_only,consistency_checks,4,1.0,0.0,1
feedback_only,consistency_checks,5,1.0,0.0,1
feedback_only,consistency_checks,6,1.0,0.0,1
feedback_only,consistency_checks,7,0.0,0.0,1
feedback_only,consistency_checks,8,0.0,0.0,1
feedback_only,consistency_checks,9,1.0,0.0,1
feedback_only,consistency_checks,10,1.0,0.0,1
feedback_only,consistency_checks,11,1.0,0.0,1
feedback_only,consistency_checks,12,0.0,0.0,1
feedback_only,consistency_checks,13,0.0,0.0,1
feedback_only,consistency_checks,14,1.0,0.0,1
feedback_only,consistency_checks,15,0.0,0.0,1
feedback_only,done,1,1.0,0.0,1
feedback_only,done,2,1.0,0.0,1
feedback_only,done,3,0.0,0.0,1
feedback_only,done,4,1.0,0.0,1
feedback_only,done,5,0.0,0.0,1
feedback_only,done,6,1.0,0.0,1
feedback_only,done,7,0.0,0.0,1
feedback_only,done,8,0.0,0.0,1
feedback_only,done,9,1.0,0.0,1
feedback_only,done,10,1.0,0.0,1
feedback_only,done,11,1.0,0.0,1
feedback_only,done,12,1.0,0.0,1
feedback_only,done,13,0.0,0.0,1
feedback_only,done,14,0.0,0.0,1
feedback_only,done,15,0.0,0.0,1
feedback_only,normalize_inputs,1,1.0,0.0,1
feedback_only,normalize_inputs,2,0.0,0.0,1
feedback_only,normalize_inputs,3,0.0,0.0,1
feedback_only,normalize_inputs,4,0.0,0.0,1
