framework,step,value,metric,correct,incorrect,hints,total,aggregation_mode
feedback_only,1,1.0,assistance_rate,0,0,1,1,concat
feedback_only,2,1.0,assistance_rate,0,0,2,2,concat
feedback_only,3,1.0,assistance_rate,0,0,3,3,concat
feedback_only,4,1.0,assistance_rate,0,0,4,4,concat
feedback_only,5,1.0,assistance_rate,0,0,5,5,concat
feedback_only,6,1.0,assistance_rate,0,0,6,6,concat
feedback_only,7,1.0,assistance_rate,0,0,7,7,concat
feedback_only,8,0.875,assistance_rate,1,0,7,8,concat
feedback_only,9,0.7777777777777778,assistance_rate,2,0,7,9,concat
feedback_only,10,0.8,assistance_rate,2,1,7,10,concat
feedback_only,11,0.8181818181818182,assistance_rate,2,1,8,11,concat
feedback_only,12,0.8333333333333334,assistance_rate,2,2,8,12,concat
feedback_only,13,0.8461538461538461,assistance_rate,2,3,8,13,concat
feedback_only,14,0.8571428571428571,assistance_rate,2,4,8,14,concat
feedback_only,15,0.8666666666666667,assistance_rate,2,4,9,15,concat
feedback_only,16,0.875,assistance_rate,2,5,9,16,concat
feedback_only,17,0.8823529411764706,assistance_rate,2,6,9,17,concat
feedback_only,18,0.8888888888888888,assistance_rate,2,7,9,18,concat
feedback_only,19,0.8947368421052632,assistance_rate,2,7,10,19,concat
feedback_only,20,0.9,assistance_rate,2,8,10,20,concat
feedback_only,21,0.8571428571428571,assistance_rate,3,8,10,21,concat
feedback_only,22,0.8181818181818182,assistance_rate,4,8,10,22,concat
feedback_only,23,0.782608695652174,assistance_rate,5,8,10,23,concat
feedback_only,24,0.75,assistance_rate,6,8,10,24,concat
feedback_only,25,0.76,assistance_rate,6,9,10,25,concat
feedback_only,26,0.7692307692307693,assistance_rate,6,9,11,26,concat
feedback_only,27,0.7777777777777778,assistance_rate,6,10,11,27,concat
feedback_only,28,0.7857142857142857,assistance_rate,6,11,11,28,concat
feedback_only,29,0.7931034482758621,assistance_rate,6,12,11,29,concat
feedback_only,30,0.8,assistance_rate,6,12,12,30,concat
feedback_only,31,0.8064516129032258,assistance_rate,6,13,12,31,concat
feedback_only,32,0.8125,assistance_rate,6,14,12,32,concat
feedback_only,33,0.8181818181818182,assistance_rate,6,15,12,33,concat
feedback_only,34,0.8235294117647058,assistance_rate,6,15,13,34,concat
feedback_only,35,0.8285714285714286,assistance_rate,6,16,13,35,concat
feedback_only,36,0.8333333333333334,assistance_rate,6,17,13,36,concat
feedback_only,37,0.8108108108108109,assistance_rate,7,17,13,37,concat
