framework,step,value,metric,correct,incorrect,hints,total,aggregation_mode
feedback_only,1,1.0,correct+hint_rate,0,0,1,1,concat
feedback_only,2,1.0,correct+hint_rate,0,0,2,2,concat
feedback_only,3,1.0,correct+hint_rate,0,0,3,3,concat
feedback_only,4,1.0,correct+hint_rate,0,0,4,4,concat
feedback_only,5,1.0,correct+hint_rate,0,0,5,5,concat
feedback_only,6,1.0,correct+hint_rate,0,0,6,6,concat
feedback_only,7,1.0,correct+hint_rate,0,0,7,7,concat
feedback_only,8,1.0,correct+hint_rate,1,0,7,8,concat
feedback_only,9,1.0,correct+hint_rate,2,0,7,9,concat
feedback_only,10,0.9,correct+hint_rate,2,1,7,10,concat
feedback_only,11,0.9090909090909091,correct+hint_rate,2,1,8,11,concat
feedback_only,12,0.8333333333333334,correct+hint_rate,2,2,8,12,concat
feedback_only,13,0.7692307692307693,correct+hint_rate,2,3,8,13,concat
feedback_only,14,0.7142857142857143,correct+hint_rate,2,4,8,14,concat
feedback_only,15,0.7333333333333333,correct+hint_rate,2,4,9,15,concat
feedback_only,16,0.6875,correct+hint_rate,2,5,9,16,concat
feedback_only,17,0.6470588235294118,correct+hint_rate,2,6,9,17,concat
feedback_only,18,0.6111111111111112,correct+hint_rate,2,7,9,18,concat
feedback_only,19,0.631578947368421,correct+hint_rate,2,7,10,19,concat
feedback_only,20,0.6,correct+hint_rate,2,8,10,20,concat
feedback_only,21,0.6190476190476191,correct+hint_rate,3,8,10,21,concat
feedback_only,22,0.6363636363636364,correct+hint_rate,4,8,10,22,concat
feedback_only,23,0.6521739130434783,correct+hint_rate,5,8,10,23,concat
feedback_only,24,0.6666666666666666,correct+hint_rate,6,8,10,24,concat
feedback_only,25,0.64,correct+hint_rate,6,9,10,25,concat
feedback_only,26,0.6538461538461539,correct+hint_rate,6,9,11,26,concat
feedback_only,27,0.6296296296296297,correct+hint_rate,6,10,11,27,concat
feedback_only,28,0.6071428571428571,correct+hint_rate,6,11,11,28,concat
feedback_only,29,0.5862068965517241,correct+hint_rate,6,12,11,29,concat
feedback_only,30,0.6,correct+hint_rate,6,12,12,30,concat
feedback_only,31,0.5806451612903226,correct+hint_rate,6,13,12,31,concat
feedback_only,32,0.5625,correct+hint_rate,6,14,12,32,concat
feedback_only,33,0.5454545454545454,correct+hint_rate,6,15,12,33,concat
feedback_only,34,0.5588235294117647,correct+hint_rate,6,15,13,34,concat
feedback_only,35,0.5428571428571428,correct+hint_rate,6,16,13,35,concat
feedback_only,36,0.5277777777777778,correct+hint_rate,6,17,13,36,concat
feedback_only,37,0.5405405405405406,correct+hint_rate,7,17,13,37,concat
feedback_only,38,0.5526315789473685,correct+hint_rate,8,17,13,38,concat
feedback_only,39,0.5641025641025641,correct+hint_rate,9,17,13,39,concat
feedback_only,40,0.575,correct+hint_rate,10,17,13,40,concat
feedback_only,41,0.5609756097560976,correct+hint_rate,10,18,13,41,concat
feedback_only,42,0.5476190476190477,correct+hint_rate,10,19,13,42,concat
feedback_only,43,0.5581395348837209,correct+hint_rate,10,19,14,43,concat
feedback_only,44,0.5454545454545454,correct+hint_rate,10,20,14,44,concat
feedback_only,45,0.5333333333333333,correct+hint_rate,10,21,14,45,concat
feedback_only,46,0.5217391304347826,correct+hint_rate,10,22,14,46,concat
feedback_only,47,0.5319148936170213,correct+hint_rate,10,22,15,47,concat
feedback_only,48,0.5208333333333334,correct+hint_rate,10,23,15,48,concat
feedback_only,49,0.5102040816326531,correct+hint_rate,10,24,15,49,concat
feedback_only,50,0.5,correct+hint_rate,10,25,15,50,concat
feedback_only,51,0.5098039215686274,correct+hint_rate,10,25,16,51,concat
feedback_only,52,0.5,correct+hint_rate,10,26,16,52,concat
feedback_only,53,0.49056603773584906,correct+hint_rate,10,27,16,53,concat
feedback_only,54,0.48148148148148145,correct+hint_rate,10,28,16,54,concat
feedback_only,55,0.4909090909090909,correct+hint_rate,10,28,17,55,concat
feedback_only,56,0.5,correct+hint_rate,11,28,17,56,concat
feedback_only,57,0.5087719298245614,correct+hint_rate,12,28,17,57,concat
feedback_only,58,0.5172413793103449,correct+hint_rate,13,28,17,58,concat
feedback_only,59,0.5254237288135594,correct+hint_rate,14,28,17,59,concat
feedback_only,60,0.5333333333333333,correct+hint_rate,15,28,17,60,concat
feedback_only,61,0.5409836065573771,correct+hint_rate,16,28,17,61,concat
feedback_only,62,0.5483870967741935,correct+hint_rate,17,28,17,62,concat
feedback_only,63,0.5555555555555556,correct+hint_rate,18,28,17,63,concat
feedback_only,64,0.5625,correct+hint_rate,19,28,17,64,concat
feedback_only,65,0.5692307692307692,correct+hint_rate,20,28,17,65,concat
feedback_only,66,0.5757575757575758,correct+hint_rate,20,28,18,66,concat
feedback_only,67,0.582089552238806,correct+hint_rate,20,28,19,67,concat
feedback_only,68,0.5882352941176471,correct+hint_rate,20,28,20,68,concat
feedback_only,69,0.5942028985507246,correct+hint_rate,20,28,21,69,concat
feedback_only,70,0.6,correct+hint_rate,20,28,22,70,concat
feedback_only,71,0.6056338028169014,correct+hint_rate,20,28,23,71,concat
feedback_only,72,0.6111111111111112,correct+hint_rate,20,28,24,72,concat
feedback_only,73,0.6164383561643836,correct+hint_rate,21,28,24,73,concat
feedback_only,74,0.6216216216216216,correct+hint_rate,22,28,24,74,concat
feedback_only,75,0.6133333333333333,correct+hint_rate,22,29,24,75,concat
feedback_only,76,0.618421052631579,correct+hint_rate,22,29,25,76,concat
feedback_only,77,0.6103896103896104,correct+hint_rate,22,30,25,77,concat
feedback_only,78,0.6025641025641025,correct+hint_rate,22,31,25,78,concat
feedback_only,79,0.5949367088607594,correct+hint_rate,22,32,25,79,concat
feedback_only,80,0.6,correct+hint_rate,22,32,26,80,concat
feedback_only,81,0.5925925925925926,correct+hint_rate,22,33,26,81,concat
feedback_only,82,0.5853658536585366,correct+hint_rate,22,34,26,82,concat
feedback_only,83,0.5783132530120482,correct+hint_rate,22,35,26,83,concat
feedback_only,84,0.5833333333333334,correct+hint_rate,22,35,27,84,concat
feedback_only,85,0.5764705882352941,correct+hint_rate,22,36,27,85,concat
feedback_only,86,0.5813953488372093,correct+hint_rate,23,36,27,86,concat
feedback_only,87,0.5747126436781609,correct+hint_rate,23,37,27,87,concat
feedback_only,88,0.5681818181818182,correct+hint_rate,23,38,27,88,concat
feedback_only,89,0.5617977528089888,correct+hint_rate,23,39,27,89,concat
feedback_only,90,0.5666666666666667,correct+hint_rate,23,39,28,90,concat
feedback_only,91,0.5714285714285714,correct+hint_rate,24,39,28,91,concat
feedback_only,92,0.5760869565217391,correct+hint_rate,25,39,28,92,concat
feedback_only,93,0.5698924731182796,correct+hint_rate,25,40,28,93,concat
feedback_only,94,0.5638297872340425,correct+hint_rate,25,41,28,94,concat
feedback_only,95,0.5578947368421052,correct+hint_rate,25,42,28,95,concat
feedback_only,96,0.5625,correct+hint_rate,25,42,29,96,concat
feedback_only,97,0.5670103092783505,correct+hint_rate,26,42,29,97,concat
feedback_only,98,0.5714285714285714,correct+hint_rate,27,42,29,98,concat
feedback_only,99,0.5757575757575758,correct+hint_rate,28,42,29,99,concat
feedback_only,100,0.58,correct+hint_rate,29,42,29,100,concat
feedback_only,101,0.5841584158415841,correct+hint_rate,30,42,29,101,concat
feedback_only,102,0.5882352941176471,correct+hint_rate,31,42,29,102,concat
feedback_only,103,0.5922330097087378,correct+hint_rate,32,42,29,103,concat
feedback_only,104,0.5961538461538461,correct+hint_rate,33,42,29,104,concat
feedback_only,105,0.6,correct+hint_rate,34,42,29,105,concat
feedback_only,106,0.6037735849056604,correct+hint_rate,35,42,29,106,concat
feedback_only,107,0.6074766355140186,correct+hint_rate,36,42,29,107,concat
feedback_only,108,0.6111111111111112,correct+hint_rate,37,42,29,108,concat
feedback_only,109,0.6146788990825688,correct+hint_rate,38,42,29,109,concat
feedback_only,110,0.6181818181818182,correct+hint_rate,39,42,29,110,concat
feedback_only,111,0.6216216216216216,correct+hint_rate,40,42,29,111,concat
feedback_only,112,0.6160714285714286,correct+hint_rate,40,43,29,112,concat
