framework,step,value,metric,correct,incorrect,hints,total,aggregation_mode
feedback_only,1,0.0,correct_rate,0,0,1,1,concat
feedback_only,2,0.0,correct_rate,0,0,2,2,concat
feedback_only,3,0.0,correct_rate,0,0,3,3,concat
feedback_only,4,0.0,correct_rate,0,0,4,4,concat
feedback_only,5,0.0,correct_rate,0,0,5,5,concat
feedback_only,6,0.0,correct_rate,0,0,6,6,concat
feedback_only,7,0.0,correct_rate,0,0,7,7,concat
feedback_only,8,1.0,correct_rate,1,0,7,8,concat
feedback_only,9,1.0,correct_rate,2,0,7,9,concat
feedback_only,10,0.6666666666666666,correct_rate,2,1,7,10,concat
feedback_only,11,0.6666666666666666,correct_rate,2,1,8,11,concat
feedback_only,12,0.5,correct_rate,2,2,8,12,concat
feedback_only,13,0.4,correct_rate,2,3,8,13,concat
feedback_only,14,0.3333333333333333,correct_rate,2,4,8,14,concat
feedback_only,15,0.3333333333333333,correct_rate,2,4,9,15,concat
feedback_only,16,0.2857142857142857,correct_rate,2,5,9,16,concat
feedback_only,17,0.25,correct_rate,2,6,9,17,concat
feedback_only,18,0.2222222222222222,correct_rate,2,7,9,18,concat
feedback_only,19,0.2222222222222222,correct_rate,2,7,10,19,concat
feedback_only,20,0.2,correct_rate,2,8,10,20,concat
feedback_only,21,0.2727272727272727,correct_rate,3,8,10,21,concat
feedback_only,22,0.3333333333333333,correct_rate,4,8,10,22,concat
feedback_only,23,0.38461538461538464,correct_rate,5,8,10,23,concat
feedback_only,24,0.42857142857142855,correct_rate,6,8,10,24,concat
feedback_only,25,0.4,correct_rate,6,9,10,25,concat
feedback_only,26,0.4,correct_rate,6,9,11,26,concat
feedback_only,27,0.375,correct_rate,6,10,11,27,concat
feedback_only,28,0.35294117647058826,correct_rate,6,11,11,28,concat
feedback_only,29,0.3333333333333333,correct_rate,6,12,11,29,concat
feedback_only,30,0.3333333333333333,correct_rate,6,12,12,30,concat
feedback_only,31,0.3157894736842105,correct_rate,6,13,12,31,concat
feedback_only,32,0.3,correct_rate,6,14,12,32,concat
feedback_only,33,0.2857142857142857,correct_rate,6,15,12,33,concat
feedback_only,34,0.2857142857142857,correct_rate,6,15,13,34,concat
feedback_only,35,0.2727272727272727,correct_rate,6,16,13,35,concat
feedback_only,36,0.2608695652173913,correct_rate,6,17,13,36,concat
feedback_only,37,0.2916666666666667,correct_rate,7,17,13,37,concat
feedback_only,38,0.32,correct_rate,8,17,13,38,concat
feedback_only,39,0.34615384615384615,correct_rate,9,17,13,39,concat
feedback_only,40,0.37037037037037035,correct_rate,10,17,13,40,concat
feedback_only,41,0.35714285714285715,correct_rate,10,18,13,41,concat
feedback_only,42,0.3448275862068966,correct_rate,10,19,13,42,concat
feedback_only,43,0.3448275862068966,correct_rate,10,19,14,43,concat
feedback_only,44,0.3333333333333333,correct_rate,10,20,14,44,concat
feedback_only,45,0.3225806451612903,correct_rate,10,21,14,45,concat
feedback_only,46,0.3125,correct_rate,10,22,14,46,concat
feedback_only,47,0.3125,correct_rate,10,22,15,47,concat
feedback_only,48,0.30303030303030304,correct_rate,10,23,15,48,concat
feedback_only,49,0.29411764705882354,correct_rate,10,24,15,49,concat
feedback_only,50,0.2857142857142857,correct_rate,10,25,15,50,concat
feedback_only,51,0.2857142857142857,correct_rate,10,25,16,51,concat
feedback_only,52,0.2777777777777778,correct_rate,10,26,16,52,concat
feedback_only,53,0.2702702702702703,correct_rate,10,27,16,53,concat
feedback_only,54,0.2631578947368421,correct_rate,10,28,16,54,concat
feedback_only,55,0.2631578947368421,correct_rate,10,28,17,55,concat
feedback_only,56,0.28205128205128205,correct_rate,11,28,17,56,concat
feedback_only,57,0.3,correct_rate,12,28,17,57,concat
feedback_only,58,0.3170731707317073,correct_rate,13,28,17,58,concat
feedback_only,59,0.3333333333333333,correct_rate,14,28,17,59,concat
feedback_only,60,0.3488372093023256,correct_rate,15,28,17,60,concat
feedback_only,61,0.36363636363636365,correct_rate,16,28,17,61,concat
feedback_only,62,0.37777777777777777,correct_rate,17,28,17,62,concat
feedback_only,63,0.391304347826087,correct_rate,18,28,17,63,concat
feedback_only,64,0.40425531914893614,correct_rate,19,28,17,64,concat
feedback_only,65,0.4166666666666667,correct_rate,20,28,17,65,concat
feedback_only,66,0.4166666666666667,correct_rate,20,28,18,66,concat
feedback_only,67,0.4166666666666667,correct_rate,20,28,19,67,concat
