framework,kc_field,opportunity,error_rate,stderr,n_students
feedback_only,apply_pythagorean,1,1.0,0.0,4
feedback_only,apply_pythagorean,2,0.5,0.25,4
feedback_only,apply_pythagorean,3,1.0,0.0,2
feedback_only,apply_pythagorean,4,1.0,0.0,1
feedback_only,backfill_with_sines_if_needed,1,1.0,0.0,3
feedback_only,backfill_with_sines_if_needed,2,1.0,0.0,3
feedback_only,backfill_with_sines_if_needed,3,1.0,0.0,3
feedback_only,backfill_with_sines_if_needed,4,1.0,0.0,3
feedback_only,backfill_with_sines_if_needed,5,1.0,0.0,2
feedback_only,classify_triangle,1,1.0,0.0,5
feedback_only,classify_triangle,2,0.4,0.21908902300206645,5
feedback_only,classify_triangle,3,0.8,0.1788854381999832,5
feedback_only,classify_triangle,4,0.4,0.21908902300206645,5
feedback_only,classify_triangle,5,0.4,0.21908902300206645,5
feedback_only,classify_triangle,6,0.3333333333333333,0.2721655269759087,3
feedback_only,classify_triangle,7,0.0,0.0,2
feedback_only,compute_area,1,1.0,0.0,5
feedback_only,compute_area,2,1.0,0.0,3
feedback_only,compute_area,3,1.0,0.0,3
feedback_only,compute_area,4,0.6666666666666666,0.2721655269759087,3
feedback_only,compute_area,5,0.0,0.0,1
feedback_only,compute_missing_angles,1,1.0,0.0,5
feedback_only,compute_missing_angles,2,0.8,0.1788854381999832,5
feedback_only,compute_missing_angles,3,0.5,0.25,4
feedback_only,compute_missing_angles,4,1.0,0.0,3
feedback_only,compute_missing_angles,5,0.6666666666666666,0.2721655269759087,3
feedback_only,compute_missing_angles,6,1.0,0.0,1
feedback_only,compute_missing_sides,1,1.0,0.0,5
feedback_only,compute_missing_sides,2,0.4,0.21908902300206645,5
feedback_only,compute_missing_sides,3,1.0,0.0,4
feedback_only,compute_missing_sides,4,0.75,0.21650635094610965,4
feedback_only,compute_missing_sides,5,1.0,0.0,2
feedback_only,compute_unknown_by_cosine,1,1.0,0.0,3
feedback_only,compute_unknown_by_cosine,2,1.0,0.0,3
feedback_only,compute_unknown_by_cosine,3,1.0,0.0,3
feedback_only,compute_unknown_by_cosine,4,1.0,0.0,3
feedback_only,compute_unknown_by_cosine,5,1.0,0.0,3
feedback_only,compute_unknown_by_cosine,6,1.0,0.0,1
feedback_only,consistency_checks,1,1.0,0.0,5
feedback_only,consistency_checks,2,0.8,0.17888543819998318,5
feedback_only,consistency_checks,3,0.8,0.1788854381999832,5
feedback_only,consistency_checks,4,0.8,0.17888543819998318,5
feedback_only,consistency_checks,5,0.6,0.21908902300206645,5
feedback_only,consistency_checks,6,0.4,0.21908902300206645,5
feedback_only,consistency_checks,7,0.4,0.21908902300206645,5
feedback_only,consistency_checks,8,0.0,0.0,2
feedback_only,done,1,1.0,0.0,5
feedback_only,done,2,0.8,0.17888543819998318,5
feedback_only,done,3,1.0,0.0,5
feedback_only,done,4,0.2,0.1788854381999832,5
feedback_only,done,5,0.8,0.1788854381999832,5
feedback_only,done,6,0.2,0.17888543819998318,5
feedback_only,done,7,0.2,0.1788854381999832,5
feedback_only,done,8,0.0,0.0,5
feedback_only,done,9,0.0,0.0,1
feedback_only,normalize_inputs,1,1.0,0.0,5
feedback_only,normalize_inputs,2,0.0,0.0,5
feedback_only,normalize_inputs,3,0.0,0.0,5
feedback_only,normalize_inputs,4,0.0,0.0,5
feedback_only,normalize_inputs,5,0.0,0.0,5
feedback_only,report_solution,1,1.0,0.0,5
feedback_only,report_solution,2,0.8,0.17888543819998318,5
feedback_only,report_solution,3,0.6,0.21908902300206645,5
feedback_only,report_solution,4,0.6,0.21908902300206645,5
feedback_only,report_solution,5,0.6,0.21908902300206645,5
feedback_only,report_solution,6,0.2,0.1788854381999832,5
feedback_only,report_solution,7,0.4,0.21908902300206645,5
feedback_only,report_solution,8,0.0,0.0,4
feedback_only,resolve_ssa_ambiguity,1,1.0,0.0,5
feedback_only,resolve_ssa_ambiguity,2,0.4,0.21908902300206645,5
feedback_only,resolve_ssa_ambiguity,3,0.75,0.21650635094610965,4
feedback_only,resolve_ssa_ambiguity,4,1.0,0.0,1
feedback_only,resolve_ssa_ambiguity,5,1.0,0.0,1
feedback_only,select_area_formula,1,1.0,0.0,5
feedback_only,select_area_formula,2,1.0,0.0,3
feedback_only,select_area_formula,3,0.6666666666666666,0.2721655269759087,3
feedback_only,select_area_formula,4,1.0,0.0,2
feedback_only,select_area_formula,5,0.5,0.35355339059327373,2
feedback_only,use_trig_ratios,1,1.0,0.0,4
feedback_only,use_trig_ratios,2,0.5,0.25,4
feedback_only,use_trig_ratios,3,1.0,0.0,2
nl_hint_only,apply_pythagorean,1,1.0,0.0,1
nl_hint_only,backfill_with_sines_if_needed,1,1.0,0.0,1
nl_hint_only,classify_triangle,1,1.0,0.0,2
nl_hint_only,classify_triangle,2,0.0,0.0,2
nl_hint_only,classify_triangle,3,0.0,0.0,1
nl_hint_only,classify_triangle,4,0.0,0.0,1
nl_hint_only,classify_triangle,5,0.0,0.0,1
nl_hint_only,compute_area,1,1.0,0.0,2
nl_hint_only,compute_area,2,1.0,0.0,2
nl_hint_only,compute_area,3,1.0,0.0,2
nl_hint_only,compute_area,4,1.0,0.0,2
nl_hint_only,compute_area,5,1.0,0.0,1
nl_hint_only,compute_area,6,1.0,0.0,1
nl_hint_only,compute_area,7,1.0,0.0,1
nl_hint_only,compute_area,8,1.0,0.0,1
nl_hint_only,compute_area,9,1.0,0.0,1
nl_hint_only,compute_area,10,1.0,0.0,1
nl_hint_only,compute_missing_angles,1,1.0,0.0,2
nl_hint_only,compute_missing_angles,2,1.0,0.0,1
nl_hint_only,compute_missing_sides,1,1.0,0.0,2
nl_hint_only,compute_missing_sides,2,1.0,0.0,1
nl_hint_only,compute_missing_sides,3,1.0,0.0,1
nl_hint_only,compute_missing_sides,4,1.0,0.0,1
nl_hint_only,compute_missing_sides,5,1.0,0.0,1
nl_hint_only,compute_unknown_by_cosine,1,1.0,0.0,1
nl_hint_only,consistency_checks,1,1.0,0.0,2
nl_hint_only,consistency_checks,2,1.0,0.0,1
nl_hint_only,consistency_checks,3,1.0,0.0,1
nl_hint_only,consistency_checks,4,1.0,0.0,1
nl_hint_only,consistency_checks,5,1.0,0.0,1
nl_hint_only,done,1,1.0,0.0,2
nl_hint_only,done,2,1.0,0.0,2
nl_hint_only,done,3,0.5,0.35355339059327373,2
nl_hint_only,done,4,1.0,0.0,2
nl_hint_only,done,5,1.0,0.0,1
nl_hint_only,done,6,1.0,0.0,1
nl_hint_only,done,7,1.0,0.0,1
nl_hint_only,done,8,1.0,0.0,1
