framework,step,value,metric,correct,incorrect,hints,total,aggregation_mode
feedback_and_nl_hint,1,1.0,correct+hint_rate,0,0,1,1,concat
feedback_and_nl_hint,2,1.0,correct+hint_rate,0,0,2,2,concat
feedback_and_nl_hint,3,1.0,correct+hint_rate,0,0,3,3,concat
feedback_and_nl_hint,4,1.0,correct+hint_rate,0,0,4,4,concat
feedback_and_nl_hint,5,1.0,correct+hint_rate,0,0,5,5,concat
feedback_and_nl_hint,6,1.0,correct+hint_rate,0,0,6,6,concat
feedback_and_nl_hint,7,1.0,correct+hint_rate,0,0,7,7,concat
feedback_and_nl_hint,8,1.0,correct+hint_rate,1,0,7,8,concat
feedback_and_nl_hint,9,1.0,correct+hint_rate,2,0,7,9,concat
feedback_and_nl_hint,10,0.9,correct+hint_rate,2,1,7,10,concat
feedback_and_nl_hint,11,0.9090909090909091,correct+hint_rate,2,1,8,11,concat
feedback_and_nl_hint,12,0.8333333333333334,correct+hint_rate,2,2,8,12,concat
feedback_and_nl_hint,13,0.7692307692307693,correct+hint_rate,2,3,8,13,concat
feedback_and_nl_hint,14,0.7142857142857143,correct+hint_rate,2,4,8,14,concat
feedback_and_nl_hint,15,0.7333333333333333,correct+hint_rate,2,4,9,15,concat
feedback_and_nl_hint,16,0.6875,correct+hint_rate,2,5,9,16,concat
feedback_and_nl_hint,17,0.6470588235294118,correct+hint_rate,2,6,9,17,concat
feedback_and_nl_hint,18,0.6111111111111112,correct+hint_rate,2,7,9,18,concat
feedback_and_nl_hint,19,0.631578947368421,correct+hint_rate,2,7,10,19,concat
feedback_and_nl_hint,20,0.65,correct+hint_rate,3,7,10,20,concat
feedback_and_nl_hint,21,0.6666666666666666,correct+hint_rate,4,7,10,21,concat
feedback_and_nl_hint,22,0.6818181818181818,correct+hint_rate,5,7,10,22,concat
feedback_and_nl_hint,23,0.6956521739130435,correct+hint_rate,6,7,10,23,concat
feedback_and_nl_hint,24,0.6666666666666666,correct+hint_rate,6,8,10,24,concat
feedback_and_nl_hint,25,0.68,correct+hint_rate,6,8,11,25,concat
feedback_and_nl_hint,26,0.6538461538461539,correct+hint_rate,6,9,11,26,concat
feedback_and_nl_hint,27,0.6296296296296297,correct+hint_rate,6,10,11,27,concat
feedback_and_nl_hint,28,0.6071428571428571,correct+hint_rate,6,11,11,28,concat
feedback_and_nl_hint,29,0.6206896551724138,correct+hint_rate,6,11,12,29,concat
feedback_and_nl_hint,30,0.6,correct+hint_rate,6,12,12,30,concat
feedback_and_nl_hint,31,0.5806451612903226,correct+hint_rate,6,13,12,31,concat
