framework,kc_field,opportunity,error_rate,stderr,n_students
feedback_and_nl_hint,apply_pythagorean,1,1.0,0.0,1
feedback_and_nl_hint,backfill_with_sines_if_needed,1,1.0,0.0,1
feedback_and_nl_hint,backfill_with_sines_if_needed,2,1.0,0.0,1
feedback_and_nl_hint,classify_triangle,1,1.0,0.0,1
feedback_and_nl_hint,classify_triangle,2,0.0,0.0,1
feedback_and_nl_hint,classify_triangle,3,0.0,0.0,1
feedback_and_nl_hint,compute_area,1,1.0,0.0,1
feedback_and_nl_hint,compute_area,2,1.0,0.0,1
feedback_and_nl_hint,compute_area,3,1.0,0.0,1
feedback_and_nl_hint,compute_area,4,1.0,0.0,1
feedback_and_nl_hint,compute_unknown_by_cosine,1,1.0,0.0,1
feedback_and_nl_hint,compute_unknown_by_cosine,2,1.0,0.0,1
feedback_and_nl_hint,compute_unknown_by_cosine,3,1.0,0.0,1
feedback_and_nl_hint,consistency_checks,1,1.0,0.0,1
feedback_and_nl_hint,consistency_checks,2,1.0,0.0,1
feedback_and_nl_hint,consistency_checks,3,1.0,0.0,1
feedback_and_nl_hint,consistency_checks,4,1.0,0.0,1
feedback_and_nl_hint,done,1,1.0,0.0,1
feedback_and_nl_hint,done,2,1.0,0.0,1
feedback_and_nl_hint,done,3,1.0,0.0,1
feedback_and_nl_hint,done,4,0.0,0.0,1
feedback_and_nl_hint,normalize_inputs,1,1.0,0.0,1
feedback_and_nl_hint,normalize_inputs,2,0.0,0.0,1
feedback_and_nl_hint,normalize_inputs,3,0.0,0.0,1
feedback_and_nl_hint,report_solution,1,1.0,0.0,1
feedback_and_nl_hint,report_solution,2,1.0,0.0,1
feedback_and_nl_hint,report_solution,3,0.0,0.0,1
feedback_and_nl_hint,select_area_formula,1,1.0,0.0,1
feedback_and_nl_hint,select_area_formula,2,1.0,0.0,1
feedback_and_nl_hint,select_area_formula,3,1.0,0.0,1
feedback_and_nl_hint,use_trig_ratios,1,1.0,0.0,1
