framework,kc_field,opportunity,error_rate,stderr,n_students
feedback_only,apply_pythagorean,1,1.0,0.0,1
feedback_only,apply_pythagorean,2,1.0,0.0,1
feedback_only,apply_pythagorean,3,1.0,0.0,1
feedback_only,apply_pythagorean,4,1.0,0.0,1
feedback_only,apply_pythagorean,5,1.0,0.0,1
feedback_only,apply_pythagorean,6,0.0,0.0,1
feedback_only,apply_pythagorean,7,1.0,0.0,1
feedback_only,classify_triangle,1,1.0,0.0,1
feedback_only,classify_triangle,2,1.0,0.0,1
feedback_only,classify_triangle,3,0.0,0.0,1
feedback_only,classify_triangle,4,0.0,0.0,1
feedback_only,classify_triangle,5,0.0,0.0,1
feedback_only,classify_triangle,6,0.0,0.0,1
feedback_only,compute_area,1,1.0,0.0,1
feedback_only,compute_area,2,1.0,0.0,1
feedback_only,compute_area,3,1.0,0.0,1
feedback_only,compute_area,4,1.0,0.0,1
feedback_only,compute_area,5,1.0,0.0,1
feedback_only,compute_area,6,1.0,0.0,1
feedback_only,compute_area,7,0.0,0.0,1
feedback_only,compute_missing_angles,1,1.0,0.0,1
feedback_only,compute_missing_sides,1,1.0,0.0,1
feedback_only,consistency_checks,1,1.0,0.0,1
feedback_only,consistency_checks,2,1.0,0.0,1
feedback_only,consistency_checks,3,1.0,0.0,1
feedback_only,consistency_checks,4,1.0,0.0,1
feedback_only,consistency_checks,5,0.0,0.0,1
feedback_only,consistency_checks,6,1.0,0.0,1
feedback_only,consistency_checks,7,0.0,0.0,1
feedback_only,consistency_checks,8,1.0,0.0,1
feedback_only,consistency_checks,9,0.0,0.0,1
feedback_only,consistency_checks,10,0.0,0.0,1
feedback_only,done,1,1.0,0.0,1
feedback_only,done,2,1.0,0.0,1
feedback_only,done,3,1.0,0.0,1
feedback_only,done,4,1.0,0.0,1
feedback_only,done,5,0.0,0.0,1
feedback_only,done,6,0.0,0.0,1
feedback_only,done,7,1.0,0.0,1
feedback_only,done,8,1.0,0.0,1
feedback_only,done,9,1.0,0.0,1
feedback_only,done,10,1.0,0.0,1
feedback_only,done,11,0.0,0.0,1
feedback_only,done,12,0.0,0.0,1
feedback_only,normalize_inputs,1,1.0,0.0,1
feedback_only,normalize_inputs,2,0.0,0.0,1
feedback_only,normalize_inputs,3,0.0,0.0,1
feedback_only,normalize_inputs,4,0.0,0.0,1
feedback_only,normalize_inputs,5,0.0,0.0,1
feedback_only,report_solution,1,1.0,0.0,1
feedback_only,report_solution,2,1.0,0.0,1
feedback_only,report_solution,3,1.0,0.0,1
feedback_only,report_solution,4,1.0,0.0,1
feedback_only,report_solution,5,0.0,0.0,1
feedback_only,report_solution,6,0.0,0.0,1
feedback_only,report_solution,7,1.0,0.0,1
feedback_only,report_solution,8,1.0,0.0,1
feedback_only,report_solution,9,1.0,0.0,1
feedback_only,report_solution,10,1.0,0.0,1
feedback_only,report_solution,11,0.0,0.0,1
feedback_only,report_solution,12,0.0,0.0,1
feedback_only,resolve_ssa_ambiguity,1,1.0,0.0,1
feedback_only,select_area_formula,1,1.0,0.0,1
feedback_only,select_area_formula,2,1.0,0.0,1
feedback_only,select_area_formula,3,1.0,0.0,1
feedback_only,select_area_formula,4,1.0,0.0,1
feedback_only,select_area_formula,5,1.0,0.0,1
feedback_only,select_area_formula,6,1.0,0.0,1
feedback_only,select_area_formula,7,1.0,0.0,1
feedback_only,select_area_formula,8,0.0,0.0,1
feedback_only,use_trig_ratios,1,1.0,0.0,1
feedback_only,use_trig_ratios,2,1.0,0.0,1
feedback_only,use_trig_ratios,3,1.0,0.0,1
feedback_only,use_trig_ratios,4,0.0,0.0,1
feedback_only,use_trig_ratios,5,1.0,0.0,1
nl_hint_only,backfill_with_sines_if_needed,1,1.0,0.0,1
nl_hint_only,classify_triangle,1,1.0,0.0,1
nl_hint_only,classify_triangle,2,1.0,0.0,1
nl_hint_only,classify_triangle,3,1.0,0.0,1
nl_hint_only,classify_triangle,4,1.0,0.0,1
nl_hint_only,classify_triangle,5,1.0,0.0,1
nl_hint_only,compute_area,1,1.0,0.0,1
nl_hint_only,compute_area,2,1.0,0.0,1
nl_hint_only,compute_missing_angles,1,1.0,0.0,1
nl_hint_only,compute_missing_sides,1,1.0,0.0,1
nl_hint_only,compute_unknown_by_cosine,1,1.0,0.0,1
nl_hint_only,consistency_checks,1,1.0,0.0,1
nl_hint_only,consistency_checks,2,1.0,0.0,1
nl_hint_only,consistency_checks,3,1.0,0.0,1
nl_hint_only,consistency_checks,4,1.0,0.0,1
nl_hint_only,consistency_checks,5,1.0,0.0,1
nl_hint_only,done,1,1.0,0.0,1
nl_hint_only,done,2,1.0,0.0,1
nl_hint_only,done,3,1.0,0.0,1
nl_hint_only,done,4,1.0,0.0,1
nl_hint_only,done,5,1.0,0.0,1
nl_hint_only,map_correspondence,1,1.0,0.0,1
nl_hint_only,normalize_inputs,1,1.0,0.0,1
nl_hint_only,normalize_inputs,2,1.0,0.0,1
nl_hint_only,normalize_inputs,3,1.0,0.0,1
nl_hint_only,normalize_inputs,4,1.0,0.0,1
